anomes,novos_clientes,custo_total_google,custo_total_facebook
1/1/2021,"35,216","1,500,832","842,829"
2/1/2021,"35,413","1,650,107","937,115"
3/1/2021,"50,242","2,011,795","1,447,291"
4/1/2021,"45,988","1,820,259","1,179,123"
5/1/2021,"49,902","1,849,713","1,137,232"
6/1/2021,"50,922","2,250,971","1,052,274"
7/1/2021,"41,104","1,632,026","971,370"
8/1/2021,"46,116","2,157,400","1,241,029"
9/1/2021,"46,987","2,311,989","1,178,434"
10/1/2021,"56,123","2,745,644","1,248,424"
11/1/2021,"69,034","3,176,825","1,822,226"
12/1/2021,"43,541","2,380,279","854,277"
1/1/2022,"43,503","3,018,071","1,357,598"
2/1/2022,"35,424","2,480,959","998,682"
3/1/2022,"37,528","2,219,100","736,920"
4/1/2022,"33,595","2,338,106","805,524"
5/1/2022,"37,689","3,286,347","907,504"
6/1/2022,"51,119","3,929,773","1,217,442"
7/1/2022,"40,331","3,022,703","875,238"
8/1/2022,"41,625","2,971,311","968,189"
9/1/2022,"43,536","2,860,216","1,238,017"
10/1/2022,"42,420","2,770,563","1,321,129"
11/1/2022,"52,291","4,164,772","1,528,835"
12/1/2022,"30,518","2,184,713","693,263"
1/1/2023,"38,701","3,071,325","803,971"
2/1/2023,"34,528","2,105,841","549,301"
3/1/2023,"38,204","3,278,187","853,119"
4/1/2023,"34,387","2,925,711","890,059"
5/1/2023,"36,984","3,181,001","1,075,132"
6/1/2023,"47,783","3,987,847","1,206,034"